Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001000","FUN_10001000","Global","undefined __thiscall FUN_10001000(float * param_1)","__thiscall","DEFAULT","false","false","","71","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001047","FUN_10001047","Global","undefined __thiscall FUN_10001047(float * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","62","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001085","FUN_10001085","Global","undefined __thiscall FUN_10001085(float * param_1, float param_2)","__thiscall","DEFAULT","false","false","","60","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","100010c1","FUN_100010c1","Global","undefined __thiscall FUN_100010c1(undefined4 * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","43","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","100010ec","FUN_100010ec","Global","float10 __fastcall FUN_100010ec(float * param_1)","__fastcall","DEFAULT","false","false","","38","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","1000111e","FUN_1000111e","Global","exception * __thiscall FUN_1000111e(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001144","FUN_10001144","Global","undefined __stdcall FUN_10001144(void)","__stdcall","DEFAULT","false","false","","1","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001145","FUN_10001145","Global","float * __thiscall FUN_10001145(float * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","236","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","10001231","FUN_10001231","Global","float10 __fastcall FUN_10001231(float * param_1)","__fastcall","DEFAULT","false","false","","59","false"
"Collision.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Collision.dll","1000126c","FUN_1000126c","Global","float * __thiscall FUN_1000126c(void * param_1)","__thiscall","DEFAULT","false","false","","165","false"
