Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001032","ConnectionIdGet","Connection_t","uint __thiscall ConnectionIdGet(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001039","ConnectionIdSet","Connection_t","void __thiscall ConnectionIdSet(uint param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001049","InetAddrGet","Connection_t","uint __thiscall InetAddrGet(void)","__thiscall","ANALYSIS","false","false","","12","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001055","AceInetAddrGet","Connection_t","ACE_INET_Addr * __thiscall AceInetAddrGet(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","1000105c","PortGet","Connection_t","ushort __thiscall PortGet(void)","__thiscall","ANALYSIS","false","false","","23","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001073","Statistics","Connection_t","void __thiscall Statistics(ConnectionStatistics_t * param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001083","FragsSent","ConnectionStatistics_t","uint __thiscall FragsSent(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","1000108a","FragsRecv","ConnectionStatistics_t","uint __thiscall FragsRecv(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001091","FragsPartsSent","ConnectionStatistics_t","uint __thiscall FragsPartsSent(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001098","FragsPartsRecv","ConnectionStatistics_t","uint __thiscall FragsPartsRecv(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","1000109f","BytesSentMap","ConnectionStatistics_t","map<unsigned_int,unsigned_int,std::less<unsigned_int>,std::allocator<std::pair<unsigned_int_const_,unsigned_int>_>_> * __thiscall BytesSentMap(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","100010a6","BytesRecvMap","ConnectionStatistics_t","map<unsigned_int,unsigned_int,std::less<unsigned_int>,std::allocator<std::pair<unsigned_int_const_,unsigned_int>_>_> * __thiscall BytesRecvMap(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","100010ad","GetNumProbes","ConnectionStatistics_t","uint __thiscall GetNumProbes(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","100010b1","operator=","ConnectionStatistics_t","ConnectionStatistics_t * __thiscall operator=(ConnectionStatistics_t * param_1)","__thiscall","ANALYSIS","false","false","","5","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","100010b6","`default_constructor_closure'","ConnectionStatistics_t","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","8","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","100010be","FUN_100010be","Global","ConnectionStatistics_t * __thiscall FUN_100010be(byte param_1)","__thiscall","DEFAULT","false","false","","77","false"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","1000110b","IpDotAddressGet","Global","char * __cdecl IpDotAddressGet(uint param_1)","__cdecl","ANALYSIS","false","false","","61","true"
"Connection.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Connection.dll","10001148","Assign","Connection_t","void __thiscall Assign(void)","__thiscall","ANALYSIS","false","false","","56","true"
