Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001000","HouseKeeping","DatabaseController_t","void __thiscall HouseKeeping(void)","__thiscall","ANALYSIS","false","false","","1","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001001","FUN_10001001","Global","ACE_Time_Value * __cdecl FUN_10001001(ACE_Time_Value * param_1)","__cdecl","DEFAULT","false","false","","33","false"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001022","~DatabaseController_t","DatabaseController_t","void __thiscall ~DatabaseController_t(void)","__thiscall","ANALYSIS","false","false","","7","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001029","Init","DatabaseController_t","void __thiscall Init(void)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","1000102e","GetDbObject","DatabaseController_t","DbObject_t * __thiscall GetDbObject(Identity_t * param_1)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001033","GetDbObject","DatabaseController_t","bool __thiscall GetDbObject(DbObject_t * param_1)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001038","PutDbObject","DatabaseController_t","void __thiscall PutDbObject(DbObject_t * param_1)","__thiscall","ANALYSIS","false","false","","3","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","1000103b","DeleteDbObject","DatabaseController_t","void __thiscall DeleteDbObject(Identity_t * param_1)","__thiscall","ANALYSIS","false","false","","3","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","1000103e","GetRevision","DatabaseController_t","uint __thiscall GetRevision(Identity_t * param_1)","__thiscall","ANALYSIS","false","false","","35","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001061","GetChangedTime","DatabaseController_t","ACE_Time_Value __thiscall GetChangedTime(void)","__thiscall","ANALYSIS","false","false","","19","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001074","ErrNo","DatabaseController_t","int __thiscall ErrNo(void)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001079","ErrorStr","DatabaseController_t","char * __thiscall ErrorStr(void)","__thiscall","ANALYSIS","false","false","","12","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001085","SetErrNo","DatabaseController_t","void __thiscall SetErrNo(DbError_e param_1)","__thiscall","ANALYSIS","false","false","","13","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001092","ClearError","DatabaseController_t","void __thiscall ClearError(void)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001097","CreateDbObject","DatabaseController_t","DbObject_t * __thiscall CreateDbObject(Identity_t * param_1)","__thiscall","ANALYSIS","false","false","","39","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","100010be","DatabaseController_t","DatabaseController_t","undefined __thiscall DatabaseController_t(void)","__thiscall","ANALYSIS","false","false","","13","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","100010cb","FUN_100010cb","Global","int * __thiscall FUN_100010cb(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001122","FUN_10001122","Global","exception * __thiscall FUN_10001122(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001148","DbRowInfo_c","DbRowInfo_c","undefined __thiscall DbRowInfo_c(void)","__thiscall","ANALYSIS","false","false","","13","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001155","~DbRowInfo_c","DbRowInfo_c","void __thiscall ~DbRowInfo_c(void)","__thiscall","ANALYSIS","false","false","","7","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","1000115c","DisableCaching","DbRowInfo_c","void __thiscall DisableCaching(void)","__thiscall","ANALYSIS","false","false","","5","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001161","IsCachingEnabled","DbRowInfo_c","bool __thiscall IsCachingEnabled(void)","__thiscall","ANALYSIS","false","false","","4","true"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","10001165","FUN_10001165","Global","int * __thiscall FUN_10001165(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"DatabaseController.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DatabaseController.dll","100011b0","DbRowData_c","DbRowData_c","undefined __thiscall DbRowData_c(void)","__thiscall","ANALYSIS","false","false","","9","true"
