Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","10001000","WrapperTime_t","WrapperTime_t","undefined __thiscall WrapperTime_t(float param_1)","__thiscall","ANALYSIS","false","false","","14","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","1000100e","WrapperTime_t","WrapperTime_t","undefined __thiscall WrapperTime_t(WrapperTime_t * param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","1000101e","operator+=","WrapperTime_t","WrapperTime_t * __thiscall operator+=(WrapperTime_t * param_1)","__thiscall","ANALYSIS","false","false","","18","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","10001030","operator-=","WrapperTime_t","WrapperTime_t * __thiscall operator-=(WrapperTime_t * param_1)","__thiscall","ANALYSIS","false","false","","18","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","10001042","DeltaTimer_t","DeltaTimer_t","undefined __thiscall DeltaTimer_t(DeltaTimer_t * param_1)","__thiscall","ANALYSIS","false","false","","22","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","10001058","DeltaTimer_t","DeltaTimer_t","undefined __thiscall DeltaTimer_t(void)","__thiscall","ANALYSIS","false","false","","24","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","10001070","SetTimeNow","DeltaTimer_t","void __thiscall SetTimeNow(void)","__thiscall","ANALYSIS","false","false","","15","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","1000107f","GetDeltaTime","DeltaTimer_t","WrapperTime_t __thiscall GetDeltaTime(void)","__thiscall","ANALYSIS","false","false","","35","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","100010a2","`default_constructor_closure'","WrapperTime_t","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","5","true"
"DeltaTimer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/DeltaTimer.dll","100010a7","operator+","Global","WrapperTime_t __cdecl operator+(WrapperTime_t * param_1, WrapperTime_t * param_2)","__cdecl","ANALYSIS","false","false","","20","true"
