Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001000","_Tidy","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Tidy(bool param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","68","true"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001044","FUN_10001044","Global","undefined __fastcall FUN_10001044(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__fastcall","DEFAULT","false","false","","10","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","1000104e","FUN_1000104e","Global","undefined __fastcall FUN_1000104e(n3InfoItemRemote_t * param_1)","__fastcall","DEFAULT","false","false","","24","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001066","Command","Fanatic::ClientInterface_c","void __cdecl Command(int param_1, Identity_t * param_2, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_3)","__cdecl","ANALYSIS","false","false","","108","true"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","100010de","FUN_100010de","Global","exception * __thiscall FUN_100010de(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001109","FUN_10001109","Global","undefined4 __fastcall FUN_10001109(n3InfoItemRemote_t * param_1)","__fastcall","DEFAULT","false","false","","9","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001112","FUN_10001112","Global","undefined __thiscall FUN_10001112(BinaryStream * param_1)","__thiscall","DEFAULT","false","false","","74","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","1000115c","FUN_1000115c","Global","n3InfoItemRemote_t * __fastcall FUN_1000115c(n3InfoItemRemote_t * param_1)","__fastcall","DEFAULT","false","false","","43","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001187","FUN_10001187","Global","n3InfoItemRemote_t * __stdcall FUN_10001187(void)","__stdcall","DEFAULT","false","false","","141","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001214","FUN_10001214","Global","bool __thiscall FUN_10001214(BinaryStream * param_1)","__thiscall","DEFAULT","false","false","","208","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","100012e4","_Chassign","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Chassign(uint param_1, uint param_2, char param_3)","__thiscall","ANALYSIS","false","false","","60","true"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","10001320","_Inside","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","bool __thiscall _Inside(char * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","1000135b","FUN_1000135b","Global","undefined __cdecl FUN_1000135b(char * param_1)","__cdecl","DEFAULT","false","false","","72","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","100013a3","FUN_100013a3","Global","exception * __thiscall FUN_100013a3(exception * param_1)","__thiscall","DEFAULT","false","false","","28","false"
"Fanatic.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Fanatic.dll","100013bf","FUN_100013bf","Global","undefined4 * __thiscall FUN_100013bf(uint param_1, uint param_2)","__thiscall","DEFAULT","false","false","","122","false"
