Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001000","FUN_10001000","Global","undefined FUN_10001000(void)","unknown","DEFAULT","false","false","","12","false"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","1000100c","GetListView","ListViewBaseItem_c","ListViewBase_c * __thiscall GetListView(void)","__thiscall","ANALYSIS","false","false","","4","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001010","SetValues","ScrollBarInterface_c","void __thiscall SetValues(float param_1, float param_2, float param_3)","__thiscall","ANALYSIS","false","false","","166","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100010b6","Instantiate","View","XMLObject_c * __cdecl Instantiate(TiXmlElement * param_1)","__cdecl","ANALYSIS","false","false","","74","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001100","IMEUpdateCandidateWindow","View","void __thiscall IMEUpdateCandidateWindow(vector<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_>_> * param_1, int param_2, int param_3)","__thiscall","ANALYSIS","false","false","","3","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001103","GetFadeGroup","View","String __thiscall GetFadeGroup(void)","__thiscall","ANALYSIS","false","false","","31","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001122","SetBorders","View","void __thiscall SetBorders(float param_1, float param_2, float param_3, float param_4)","__thiscall","ANALYSIS","false","false","","95","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001181","GetWindow","View","Window * __thiscall GetWindow(void)","__thiscall","ANALYSIS","false","false","","6","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001187","Hide","View","void __thiscall Hide(bool param_1, bool param_2)","__thiscall","ANALYSIS","false","false","","26","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100011a1","Disable","View","void __thiscall Disable(void)","__thiscall","ANALYSIS","false","false","","8","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100011a9","GetILeftTop","View","IPoint __thiscall GetILeftTop(void)","__thiscall","ANALYSIS","false","false","","31","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100011c8","ScrollBy","View","void __thiscall ScrollBy(float param_1, float param_2, bool param_3)","__thiscall","ANALYSIS","false","false","","53","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100011fd","`default_constructor_closure'","View","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","102","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001263","Instantiate","TextInputView_c","XMLObject_c * __cdecl Instantiate(TiXmlElement * param_1)","__cdecl","ANALYSIS","false","false","","70","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100012a9","GetLabelView","TextInputView_c","TextView_c * __thiscall GetLabelView(void)","__thiscall","ANALYSIS","false","false","","7","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100012b0","GetPopupMenu","ComboBox_c","PopupMenu_c * __thiscall GetPopupMenu(void)","__thiscall","ANALYSIS","false","false","","7","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","100012b7","`default_constructor_closure'","GUIControl_c","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","104","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","1000131f","Instantiate","ScrollView_c","XMLObject_c * __cdecl Instantiate(TiXmlElement * param_1)","__cdecl","ANALYSIS","false","false","","72","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001367","GetBorderView","TextInputView_c","BorderView_c * __thiscall GetBorderView(void)","__thiscall","ANALYSIS","false","false","","7","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","1000136e","GetScrollWheelStep","ScrollView_c","float __thiscall GetScrollWheelStep(void)","__thiscall","ANALYSIS","false","false","","7","true"
"GUI.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GUI.dll","10001375","SetScrollWheelStep","ScrollView_c","void __thiscall SetScrollWheelStep(float param_1)","__thiscall","ANALYSIS","false","false","","16","true"
