Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001032","FUN_10001032","Global","undefined __stdcall FUN_10001032(void)","__stdcall","DEFAULT","false","false","","1","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001033","GetIntMap","IndependentPrefs_t","map<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>,IndependentPrefs_t::IntElement_t,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_>,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_const_,IndependentPrefs_t::IntElement_t>_>_> * __thiscall GetIntMap(PrefType_e param_1)","__thiscall","ANALYSIS","false","false","","21","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001048","GetFloatMap","IndependentPrefs_t","map<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>,IndependentPrefs_t::FloatElement_t,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_>,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_const_,IndependentPrefs_t::FloatElement_t>_>_> * __thiscall GetFloatMap(PrefType_e param_1)","__thiscall","ANALYSIS","false","false","","21","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000105d","GetStringMap","IndependentPrefs_t","map<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>,IndependentPrefs_t::StringElement_t,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_>,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char>_>_const_,IndependentPrefs_t::StringElement_t>_>_> * __thiscall GetStringMap(PrefType_e param_1)","__thiscall","ANALYSIS","false","false","","21","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001072","FUN_10001072","Global","undefined __fastcall FUN_10001072(int * param_1)","__fastcall","DEFAULT","false","false","","59","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100010ad","FUN_100010ad","Global","undefined __fastcall FUN_100010ad(int * param_1)","__fastcall","DEFAULT","false","false","","59","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100010e8","FUN_100010e8","Global","undefined __fastcall FUN_100010e8(int * param_1)","__fastcall","DEFAULT","false","false","","59","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001123","FUN_10001123","Global","undefined __cdecl FUN_10001123(char * param_1)","__cdecl","DEFAULT","false","false","","72","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000116b","FUN_1000116b","Global","exception * __thiscall FUN_1000116b(exception * param_1)","__thiscall","DEFAULT","false","false","","28","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001187","FUN_10001187","Global","undefined __fastcall FUN_10001187(int * param_1)","__fastcall","DEFAULT","false","false","","70","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100011cd","FUN_100011cd","Global","undefined __fastcall FUN_100011cd(int * param_1)","__fastcall","DEFAULT","false","false","","70","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001213","FUN_10001213","Global","uint __thiscall FUN_10001213(uint param_1, uint param_2, byte * param_3, uint param_4)","__thiscall","DEFAULT","false","false","","102","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001279","_Inside","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","bool __thiscall _Inside(char * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100012b4","_Tidy","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Tidy(bool param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","68","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100012f8","FUN_100012f8","Global","undefined __thiscall FUN_100012f8(int * param_1)","__thiscall","DEFAULT","false","false","","71","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000133f","FUN_1000133f","Global","undefined __thiscall FUN_1000133f(int * param_1)","__thiscall","DEFAULT","false","false","","71","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001386","FUN_10001386","Global","undefined __thiscall FUN_10001386(int * param_1)","__thiscall","DEFAULT","false","false","","71","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100013cd","FUN_100013cd","Global","undefined __fastcall FUN_100013cd(int param_1)","__fastcall","DEFAULT","false","false","","10","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100013d7","FUN_100013d7","Global","undefined4 * __thiscall FUN_100013d7(uint param_1, uint param_2)","__thiscall","DEFAULT","false","false","","122","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001451","FUN_10001451","Global","undefined __fastcall FUN_10001451(int param_1)","__fastcall","DEFAULT","false","false","","84","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100014a6","FUN_100014a6","Global","undefined __fastcall FUN_100014a6(int param_1)","__fastcall","DEFAULT","false","false","","84","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100014fb","FUN_100014fb","Global","undefined __fastcall FUN_100014fb(int param_1)","__fastcall","DEFAULT","false","false","","84","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001550","FUN_10001550","Global","undefined __fastcall FUN_10001550(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__fastcall","DEFAULT","false","false","","10","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000155a","FUN_1000155a","Global","undefined __thiscall FUN_1000155a(byte * param_1)","__thiscall","DEFAULT","false","false","","33","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000157b","FUN_1000157b","Global","undefined __thiscall FUN_1000157b(int param_1)","__thiscall","DEFAULT","false","false","","69","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100015c0","FUN_100015c0","Global","undefined __thiscall FUN_100015c0(int param_1)","__thiscall","DEFAULT","false","false","","69","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001605","FUN_10001605","Global","undefined __thiscall FUN_10001605(int param_1)","__thiscall","DEFAULT","false","false","","69","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000164a","FUN_1000164a","Global","undefined __stdcall FUN_1000164a(void)","__stdcall","DEFAULT","false","false","","101","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100016af","Catch_All@100016af","Global","undefined * __stdcall Catch_All@100016af(void)","__stdcall","ANALYSIS","false","false","","33","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100016d6","FUN_100016d6","Global","undefined __stdcall FUN_100016d6(void)","__stdcall","DEFAULT","false","false","","82","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001728","Catch_All@10001728","Global","undefined __stdcall Catch_All@10001728(void)","__stdcall","ANALYSIS","false","false","","20","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000173d","FUN_1000173d","Global","int __fastcall FUN_1000173d(int param_1)","__fastcall","DEFAULT","false","false","","101","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100017a3","FUN_100017a3","Global","int __fastcall FUN_100017a3(int param_1)","__fastcall","DEFAULT","false","false","","101","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001809","FUN_10001809","Global","int __fastcall FUN_10001809(int param_1)","__fastcall","DEFAULT","false","false","","101","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000186f","FUN_1000186f","Global","undefined __thiscall FUN_1000186f(undefined4 * param_1, char param_2, undefined4 * param_3, int * param_4)","__thiscall","DEFAULT","false","false","","297","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001998","FUN_10001998","Global","undefined __thiscall FUN_10001998(undefined4 * param_1, int * param_2)","__thiscall","DEFAULT","false","false","","587","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001be3","FUN_10001be3","Global","undefined __fastcall FUN_10001be3(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__fastcall","DEFAULT","false","false","","28","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001bff","FUN_10001bff","Global","bool __thiscall FUN_10001bff(uint param_1, char param_2)","__thiscall","DEFAULT","false","false","","101","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001c64","FUN_10001c64","Global","undefined4 * __thiscall FUN_10001c64(byte * param_1)","__thiscall","DEFAULT","false","false","","53","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001c99","FUN_10001c99","Global","undefined4 * __thiscall FUN_10001c99(byte * param_1)","__thiscall","DEFAULT","false","false","","53","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001cce","FUN_10001cce","Global","undefined __stdcall FUN_10001cce(int * param_1)","__stdcall","DEFAULT","false","false","","53","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001d03","FUN_10001d03","Global","undefined __thiscall FUN_10001d03(undefined4 * param_1, int * param_2, char param_3)","__thiscall","DEFAULT","false","false","","103","false"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001d6a","Save","IndependentPrefs_t","bool __thiscall Save(PrefType_e param_1)","__thiscall","ANALYSIS","false","false","","546","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001f8c","GetIntMinMaxValue","IndependentPrefs_t","bool __thiscall GetIntMinMaxValue(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1, int * param_2, int * param_3, PrefType_e param_4)","__thiscall","ANALYSIS","false","false","","67","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10001fcf","GetFloatMinMaxValue","IndependentPrefs_t","bool __thiscall GetFloatMinMaxValue(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1, float * param_2, float * param_3, PrefType_e param_4)","__thiscall","ANALYSIS","false","false","","67","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002012","GetPrefInt","IndependentPrefs_t","int __thiscall GetPrefInt(char * param_1, PrefType_e param_2)","__thiscall","ANALYSIS","false","false","","115","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002085","GetPrefFloat","IndependentPrefs_t","float __thiscall GetPrefFloat(char * param_1, PrefType_e param_2)","__thiscall","ANALYSIS","false","false","","115","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100020f8","GetPrefString","IndependentPrefs_t","char * __thiscall GetPrefString(char * param_1, PrefType_e param_2)","__thiscall","ANALYSIS","false","false","","126","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002176","SetStringChangedCallback","IndependentPrefs_t","void __thiscall SetStringChangedCallback(char * param_1, _func_void_void_ptr_char_ptr * param_2, void * param_3, PrefType_e param_4, bool param_5)","__thiscall","ANALYSIS","false","false","","146","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002208","RemoveIntChangedCallback","IndependentPrefs_t","void __thiscall RemoveIntChangedCallback(char * param_1, _func_void_void_ptr_int * param_2, void * param_3, PrefType_e param_4)","__thiscall","ANALYSIS","false","false","","176","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100022b8","RemoveFloatChangedCallback","IndependentPrefs_t","void __thiscall RemoveFloatChangedCallback(char * param_1, _func_void_void_ptr_float * param_2, void * param_3, PrefType_e param_4)","__thiscall","ANALYSIS","false","false","","176","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002368","GetPrefEasy","IndependentPrefs_t","bool __thiscall GetPrefEasy(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1, basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> * param_2)","__thiscall","ANALYSIS","false","false","","606","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100025c6","GetPrefAndDeleteString","IndependentPrefs_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall GetPrefAndDeleteString(char * param_1, basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> * param_2, PrefType_e param_3)","__thiscall","ANALYSIS","false","false","","200","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","1000268e","SetIntChangedCallback","IndependentPrefs_t","void __thiscall SetIntChangedCallback(char * param_1, _func_void_void_ptr_int * param_2, void * param_3, PrefType_e param_4, bool param_5)","__thiscall","ANALYSIS","false","false","","227","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002771","SetFloatChangedCallback","IndependentPrefs_t","void __thiscall SetFloatChangedCallback(char * param_1, _func_void_void_ptr_float * param_2, void * param_3, PrefType_e param_4, bool param_5)","__thiscall","ANALYSIS","false","false","","231","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002858","InitDefaultString","IndependentPrefs_t","void __thiscall InitDefaultString(char * param_1, char * param_2, int param_3, PrefType_e param_4)","__thiscall","ANALYSIS","false","false","","352","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","100029b8","SetPrefString","IndependentPrefs_t","char * __thiscall SetPrefString(char * param_1, char * param_2, PrefType_e param_3, bool param_4)","__thiscall","ANALYSIS","false","false","","240","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002aa8","GetPrefAndDeleteInt","IndependentPrefs_t","int __thiscall GetPrefAndDeleteInt(char * param_1, int param_2, PrefType_e param_3)","__thiscall","ANALYSIS","false","false","","136","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002b30","GetPrefAndDeleteFloat","IndependentPrefs_t","float __thiscall GetPrefAndDeleteFloat(char * param_1, float param_2, PrefType_e param_3)","__thiscall","ANALYSIS","false","false","","133","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002bb5","InitDefaultInt","IndependentPrefs_t","void __thiscall InitDefaultInt(char * param_1, int param_2, int param_3, int param_4, PrefType_e param_5)","__thiscall","ANALYSIS","false","false","","335","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002d04","InitDefaultFloat","IndependentPrefs_t","void __thiscall InitDefaultFloat(char * param_1, float param_2, float param_3, float param_4, PrefType_e param_5)","__thiscall","ANALYSIS","false","false","","344","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002e5c","SetPrefInt","IndependentPrefs_t","int __thiscall SetPrefInt(char * param_1, int param_2, PrefType_e param_3, bool param_4)","__thiscall","ANALYSIS","false","false","","243","true"
"InstanceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/InstanceManager.dll","10002f4f","SetPrefFloat","IndependentPrefs_t","float __thiscall SetPrefFloat(char * param_1, float param_2, PrefType_e param_3, bool param_4)","__thiscall","ANALYSIS","false","false","","295","true"
