Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","10001032","FUN_10001032","Global","ACE_Time_Value * __cdecl FUN_10001032(ACE_Time_Value * param_1)","__cdecl","DEFAULT","false","false","","33","false"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","10001053","FUN_10001053","Global","undefined __fastcall FUN_10001053(undefined4 * param_1)","__fastcall","DEFAULT","false","false","","7","false"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000105a","FUN_1000105a","Global","undefined4 * __thiscall FUN_1000105a(byte param_1)","__thiscall","DEFAULT","false","false","","32","false"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000107a","Shutdown","ResourceWorker","void __thiscall Shutdown(void)","__thiscall","ANALYSIS","false","false","","5","true"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000107f","`default_constructor_closure'","DbCache","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","8","true"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","10001087","GetCacheLimit","ResourceManager","uint __thiscall GetCacheLimit(void)","__thiscall","ANALYSIS","false","false","","4","true"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000108b","DisableAsyncLoading","ResourceManager","void __thiscall DisableAsyncLoading(void)","__thiscall","ANALYSIS","false","false","","4","true"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","1000108f","EnableAsyncLoading","ResourceManager","void __thiscall EnableAsyncLoading(void)","__thiscall","ANALYSIS","false","false","","4","true"
"ResourceManager.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ResourceManager.dll","10001093","open","AsyncWorker","int __thiscall open(void * param_1)","__thiscall","ANALYSIS","false","false","","33","true"
