Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001000","CBeatMark","CBeatMark","undefined __thiscall CBeatMark(void)","__thiscall","ANALYSIS","false","false","","23","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001017","~CBeatMark","CBeatMark","void __thiscall ~CBeatMark(void)","__thiscall","ANALYSIS","false","false","","12","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001023","FID_conflict:`vector_deleting_destructor'","Global","CBeatMark * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","1000106d","SetTolerance","CChord","void __cdecl SetTolerance(ulong param_1)","__cdecl","ANALYSIS","false","false","","13","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","1000107a","Archive","CChord","void __thiscall Archive(ObjectArchive_c * param_1)","__thiscall","ANALYSIS","false","false","","82","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","100010cc","CChord","CChord","undefined __thiscall CChord(ObjectArchive_c * param_1)","__thiscall","ANALYSIS","false","false","","167","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001173","~CChord","CChord","void __thiscall ~CChord(void)","__thiscall","ANALYSIS","false","false","","30","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001191","CChord","CChord","undefined __thiscall CChord(CChord * param_1)","__thiscall","ANALYSIS","false","false","","117","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001206","operator=","CChord","CChord * __thiscall operator=(CChord * param_1)","__thiscall","ANALYSIS","false","false","","52","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","1000123a","CChord","CChord","undefined __thiscall CChord(char * param_1, ulong param_2, ulong param_3, ulong param_4)","__thiscall","ANALYSIS","false","false","","79","true"
"SIMPlayer.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/SIMPlayer.dll","10001295","FUN_10001295","Global","exception * __thiscall FUN_10001295(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
