Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001000","FUN_10001000","Global","undefined __thiscall FUN_10001000(float * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","62","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000103e","FUN_1000103e","Global","undefined __thiscall FUN_1000103e(float * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","62","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000107c","FUN_1000107c","Global","undefined __thiscall FUN_1000107c(float * param_1, float param_2)","__thiscall","DEFAULT","false","false","","60","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","100010b8","FUN_100010b8","Global","undefined __thiscall FUN_100010b8(float * param_1, float param_2)","__thiscall","DEFAULT","false","false","","60","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","100010f4","FUN_100010f4","Global","undefined __cdecl FUN_100010f4(float * param_1, float param_2, float * param_3)","__cdecl","DEFAULT","false","false","","59","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000112f","~FunctionalPath_i","FunctionalPath_i","void __thiscall ~FunctionalPath_i(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001136","FunctionalPath_i","FunctionalPath_i","undefined __thiscall FunctionalPath_i(void)","__thiscall","ANALYSIS","false","false","","9","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000113f","FunctionalPath_i","FunctionalPath_i","undefined __thiscall FunctionalPath_i(FunctionalPath_i * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000114a","FUN_1000114a","Global","int * __thiscall FUN_1000114a(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001195","~DebugRenderer_i","DebugRenderer_i","void __thiscall ~DebugRenderer_i(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","1000119c","DebugRenderer_i","DebugRenderer_i","undefined __thiscall DebugRenderer_i(void)","__thiscall","ANALYSIS","false","false","","9","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","100011a5","DebugRenderer_i","DebugRenderer_i","undefined __thiscall DebugRenderer_i(DebugRenderer_i * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","100011b0","FUN_100011b0","Global","int * __thiscall FUN_100011b0(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","100011fb","FUN_100011fb","Global","undefined4 * __thiscall FUN_100011fb(undefined4 * param_1, undefined4 * param_2, float param_3, undefined4 * param_4)","__thiscall","DEFAULT","false","false","","153","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001294","FUN_10001294","Global","bool __thiscall FUN_10001294(float param_1, undefined4 * param_2, undefined1 * param_3)","__thiscall","DEFAULT","false","false","","157","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001331","FUN_10001331","Global","undefined4 * __thiscall FUN_10001331(byte param_1)","__thiscall","DEFAULT","false","false","","32","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001351","FUN_10001351","Global","undefined __thiscall FUN_10001351(float * param_1)","__thiscall","DEFAULT","false","false","","71","false"
"Vehicle.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Vehicle.dll","10001398","FUN_10001398","Global","undefined __thiscall FUN_10001398(undefined4 * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","43","false"
