Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001000","png_set_sig_bytes","Global","undefined __cdecl png_set_sig_bytes(int param_1, int param_2)","__cdecl","IMPORTED","false","false","","46","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001030","png_sig_cmp","Global","undefined __cdecl png_sig_cmp(int param_1, uint param_2, uint param_3)","__cdecl","IMPORTED","false","false","","245","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001130","FUN_10001130","Global","void * __cdecl FUN_10001130(int param_1, uint param_2, uint param_3)","__cdecl","DEFAULT","false","false","","81","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001190","png_free","Global","undefined __cdecl png_free(int param_1, void * param_2)","__cdecl","IMPORTED","false","false","","47","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100011c0","png_create_info_struct","Global","undefined __cdecl png_create_info_struct(int param_1)","__cdecl","IMPORTED","false","false","","143","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001250","png_destroy_info_struct","Global","undefined __cdecl png_destroy_info_struct(int param_1, undefined4 * param_2)","__cdecl","IMPORTED","false","false","","113","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100012d0","png_info_init_3","Global","undefined __cdecl png_info_init_3(undefined4 * param_1, uint param_2)","__cdecl","IMPORTED","false","false","","113","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001350","png_data_freer","Global","undefined __cdecl png_data_freer(int param_1, int param_2, int param_3, uint param_4)","__cdecl","IMPORTED","false","false","","70","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100013a0","png_free_data","Global","undefined __cdecl png_free_data(int param_1, int param_2, uint param_3, int param_4)","__cdecl","IMPORTED","false","false","","1436","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001940","FUN_10001940","Global","undefined __stdcall FUN_10001940(void)","__stdcall","DEFAULT","false","false","","132","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100019d0","png_get_io_ptr","Global","undefined4 __cdecl png_get_io_ptr(int param_1)","__cdecl","IMPORTED","false","false","","17","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100019f0","png_init_io","Global","undefined __cdecl png_init_io(int param_1, undefined4 param_2)","__cdecl","IMPORTED","false","false","","18","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001a10","png_convert_to_rfc1123","Global","undefined4 __cdecl png_convert_to_rfc1123(int param_1, ushort * param_2)","__cdecl","IMPORTED","false","false","","202","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001ae0","png_get_copyright","Global","char * __stdcall png_get_copyright(void)","__stdcall","IMPORTED","false","false","","6","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001af0","png_get_header_ver","Global","undefined1 * __stdcall png_get_header_ver(void)","__stdcall","IMPORTED","false","false","","6","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001b00","png_get_header_version","Global","char * __stdcall png_get_header_version(void)","__stdcall","IMPORTED","false","false","","6","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001b10","png_handle_as_unknown","Global","undefined1 __cdecl png_handle_as_unknown(int param_1, int * param_2)","__cdecl","IMPORTED","false","false","","73","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001b60","png_reset_zstream","Global","undefined4 __cdecl png_reset_zstream(int param_1)","__cdecl","IMPORTED","false","false","","31","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001b80","png_access_version_number","Global","undefined4 __stdcall png_access_version_number(void)","__stdcall","IMPORTED","false","false","","6","true"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001b90","FUN_10001b90","Global","undefined4 __fastcall FUN_10001b90(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6, int param_7, int param_8)","__fastcall","DEFAULT","false","false","","560","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001dc0","FUN_10001dc0","Global","undefined __cdecl FUN_10001dc0(uint param_1, int param_2, int param_3, int param_4, int param_5, int param_6)","__cdecl","DEFAULT","false","false","","537","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10001fe0","FUN_10001fe0","Global","uint __fastcall FUN_10001fe0(undefined4 param_1, int param_2, uint * param_3, uint * param_4)","__fastcall","DEFAULT","false","false","","139","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10002120","FUN_10002120","Global","undefined4 __stdcall FUN_10002120(void)","__stdcall","DEFAULT","false","false","","75","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10002170","FUN_10002170","Global","float10 __stdcall FUN_10002170(void)","__stdcall","DEFAULT","false","false","","73","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100021c0","FUN_100021c0","Global","undefined __thiscall FUN_100021c0(char * param_1, int param_2, double param_3)","__thiscall","DEFAULT","false","false","","1273","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100026c0","FUN_100026c0","Global","undefined __fastcall FUN_100026c0(uint param_1, char * param_2, int param_3)","__fastcall","DEFAULT","false","false","","243","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100027c0","FUN_100027c0","Global","ulonglong __cdecl FUN_100027c0(double param_1)","__cdecl","DEFAULT","false","false","","175","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10002870","FUN_10002870","Global","undefined8 __cdecl FUN_10002870(int param_1, int param_2, int param_3)","__cdecl","DEFAULT","false","false","","122","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100028f0","FUN_100028f0","Global","ulonglong __cdecl FUN_100028f0(int param_1)","__cdecl","DEFAULT","false","false","","74","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10002940","FUN_10002940","Global","ulonglong __cdecl FUN_10002940(int param_1, int param_2)","__cdecl","DEFAULT","false","false","","77","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","10002990","FUN_10002990","Global","ulonglong __cdecl FUN_10002990(int param_1, int param_2)","__cdecl","DEFAULT","false","false","","77","false"
"randy31.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/randy31.dll","100029e0","FUN_100029e0","Global","undefined __stdcall FUN_100029e0(void)","__stdcall","DEFAULT","false","false","","110","false"
