Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001032","Duplicate","fun::Serializable_c","void __thiscall Duplicate(void)","__thiscall","ANALYSIS","false","false","","1","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001033","FUN_10001033","Global","int * __thiscall FUN_10001033(undefined4 * param_1)","__thiscall","DEFAULT","false","false","","86","false"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001089","FUN_10001089","Global","int * __thiscall FUN_10001089(undefined4 * param_1)","__thiscall","DEFAULT","false","false","","103","false"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100010f0","`default_constructor_closure'","fun::Message_c","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","8","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100010f8","GetSymbolMap","fun::ObjectArchive_c","map<fun::SymbolName,int,std::less<fun::SymbolName>,std::allocator<std::pair<fun::SymbolName_const_,int>_>_> * __thiscall GetSymbolMap(void)","__thiscall","ANALYSIS","false","false","","4","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100010fc","FID_conflict:`vector_deleting_destructor'","Global","ObjectArchive_c * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001146","IO_t","fun::IO_t","undefined __thiscall IO_t(void)","__thiscall","ANALYSIS","false","false","","9","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","1000114f","~DataIO_t","fun::DataIO_t","void __thiscall ~DataIO_t(void)","__thiscall","ANALYSIS","false","false","","7","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001156","IO_t","fun::IO_t","undefined __thiscall IO_t(IO_t * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001161","FUN_10001161","Global","int * __thiscall FUN_10001161(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011ac","DataIO_t","fun::DataIO_t","undefined __thiscall DataIO_t(void)","__thiscall","ANALYSIS","false","false","","9","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011b5","DataIO_t","fun::DataIO_t","undefined __thiscall DataIO_t(DataIO_t * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011c0","PositionIO_t","fun::PositionIO_t","undefined __thiscall PositionIO_t(void)","__thiscall","ANALYSIS","false","false","","9","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011c9","PositionIO_t","fun::PositionIO_t","undefined __thiscall PositionIO_t(PositionIO_t * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011d4","operator=","fun::DataIO_t","DataIO_t * __thiscall operator=(DataIO_t * param_1)","__thiscall","ANALYSIS","false","false","","5","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","100011d9","MallocIO_t","fun::MallocIO_t","undefined __thiscall MallocIO_t(MallocIO_t * param_1)","__thiscall","ANALYSIS","false","false","","48","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001209","operator=","fun::MallocIO_t","MallocIO_t * __thiscall operator=(MallocIO_t * param_1)","__thiscall","ANALYSIS","false","false","","42","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","10001233","`default_constructor_closure'","fun::MallocIO_t","void __thiscall `default_constructor_closure'(void)","__thiscall","ANALYSIS","false","false","","10","true"
"serialize.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/serialize.dll","1000123d","FID_conflict:`vector_deleting_destructor'","Global","MallocIO_t * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
