"TemplateId","Name","EnemyKeywords","Strings"
"17627","protodroid","","protodroid"
"17637","cyborg soldier - female bader","cyborg","cyborg soldier - female bader"
"17639","cyborg soldier - male bader","cyborg","cyborg soldier - male bader"
"17641","cyborg soldier - felmale bad","cyborg","cyborg soldier - felmale bad"
"17643","cyborg soldier - male","cyborg","cyborg soldier - male"
"17645","cyborg soldier - male bad","cyborg","cyborg soldier - male bad"
"17647","cyborg soldier - female","cyborg","cyborg soldier - female"
"17649","android","","android"
"17651","anvian","","+!Lm% | anvian"
"17653","eye mutant","mutant","eye mutant"
"17655","leet","leet","leet"
"17657","flea","flea","flea"
"17660","malle","malle","malle"
"17662","minibronto","bronto","minibronto"
"17664","rhinoman","rhinoman","C@""`s | rhinoman"
"17687","rollerrat","rollerrat","rollerrat"
"17691","gofle","","gofle"
"17693","Dk2s","","Dk2s | skorpiod"
"17695","tentaclo","","tentaclo"
"17697","wardroid","","/!C& | wardroid"
"17699","wingbag","","wingbag"
"17704","breiflabb - badering","","breiflabb - badering"
"17706","breiflabb","","breiflabb"
"17708","stalker","","stalker"
"17710","pit lizard","lizard","5u}6 | pit lizard"
"17712","sandworm","","sandworm"
"17714","organic waste collector","","organic waste collector"
"17716","enigma","","enigma"
"17720","mech dog - skin","","mech dog - skin"
"20614","hovertech","","hovertech"
"22790","ottous","","ottous"
"22794","green lizard","lizard","green lizard"
"22798","omni juggernaut","","*XU$y | omni juggernaut"
"22802","yuttos hearder","","yuttos hearder"
"22804","t-droid","","t-droid"
"22821","omni slayer droid","","omni slayer droid"
"26048","medusa","","medusa"
"26074","solitus fat male","","solitus fat male"
"26076","solitus thin female","","solitus thin female"
"26078","solitus fat female robe","","solitus fat female robe"
"26080","solitus thin female robe","","solitus thin female robe"
"26082","solitus fat female","","solitus fat female"
"26084","solitus thin male robe","","solitus thin male robe"
"26086","solitus fat male robe","","solitus fat male robe"
"26088","solitus thin male","","solitus thin male"
"26090","solitus female","","solitus female"
"26092","solitus male","","solitus male"
"26095","atrox thin male robe","","atrox thin male robe"
"26097","atrox male","","atrox male"
"26099","atrox fat male robe","","atrox fat male robe"
"26101","atrox thin male","","atrox thin male"
"26103","atrox fat male","","atrox fat male"
"26121","opifex thin female robe","","opifex thin female robe"
"26123","opifex fat female","","opifex fat female"
"26125","opifex thin female","","opifex thin female"
"26127","opifex fat female robe","","opifex fat female robe"
"26129","opifex thin male robe","","opifex thin male robe"
"26131","opifex fat male robe","","opifex fat male robe"
"26133","opifex fat male","","opifex fat male"
"26135","opifex thin male","","opifex thin male"
"26137","opifex female","","opifex female"
"26139","opifex male","","opifex male"
"26141","nano fat male robe","","nano fat male robe"
"26143","nano fat female","","nano fat female"
"26145","nano fat female robe","","nano fat female robe"
"26147","nano fat male","","nano fat male"
"26149","nano female","","nano female"
"26151","nano male","","nano male"
"26153","nano thin female robe","","nano thin female robe"
"26155","nano thin female","","nano thin female"
"26157","nano thin male robe","","nano thin male robe"
"26159","nano thin male","","nano thin male"
"26902","placeholder monster","monster","placeholder monster"
"28513","primitive medusa","","primitive medusa"
"30252","giant snake","snake","giant snake"
"30258","biofreak noskin","biofreak","biofreak noskin"
"30260","swampghoul","","swampghoul"
"30346","bronto mama","bronto","bronto mama"
"30348","wolf zweikopf","","wolf zweikopf"
"30352","scavenger dog","","scavenger dog"
"30354","salamander","salamander","salamander"
"30356","sabretooth","","bj]( | sabretooth"
"30358","BvZz","","BvZz | nokken"
"30360","minibull","minibull","minibull"
"30363","deathbird","","deathbird"
"30365","cute birdy","","cute birdy"
"30369","aquaan","","aquaan"
"30371","aquaan queen","","aquaan queen"
"30375","mutant mantis","mutant; mantis","mutant mantis"
"30377","stone plant","","stone plant"
"30379","skin spider","spider","skin spider"
"30383","hammerbeast","","hammerbeast"
"30464","shadowmutant plain","mutant","shadowmutant plain"
"31114","rhinoman female","rhinoman","C@""`s | rhinoman female"
"31762","desert eremite","","desert eremite"
"31907","bileswarm colossus","","bileswarm colossus"
"31909","bileswarm worker","","bileswarm worker"
"32419","sewer snake","snake","sewer snake"
"38383","enigma floatpot","","enigma floatpot"
"38385","drill tentacle","","\t?}: | drill tentacle"
"38387","clawfinger","","clawfinger"
"38389","anun","anun","+!Lms | anun"
"38394","nanofreak","","nanofreak"
"38414","pixie","","Dom% | pixie"
"40059","autospymole","","autospymole"
"40061","wing carrion","","wing carrion"
"40063","rollerrat queen","rollerrat","rollerrat queen"
"40065","babyface","","babyface"
"40067","shark","","shark"
"40069","gunbeetle","","gunbeetle"
"40071","enigma dog","","enigma dog"
"40073","cannon","","cannon"
"40075","blubbag","","blubbag"
"40482","gator","","gator"
"40484","HM2s","","g}Dt | JM(; | HM2s | organic entrailer"
"40486","carrion","","carrion"
"40515","desert aquaan","","desert aquaan"
"40805","athrox male robe","","athrox male robe"
"40808","nano female robe","","nano female robe"
"40810","nano male robe","","nano male robe"
"40812","opifex male robe","","opifex male robe"
"40814","opifex female robe","","opifex female robe"
"40816","solitus female robe","","solitus female robe"
"40818","solitus male robe","","solitus male robe"
"41369","human mantis","mantis","human mantis"
