"DropGroupHash","LowId","HighId","MinQl","MaxQl","RangeCheck","LowItemName","HighItemName","ItemNameStatus"
"ABANSG","214788","214788","1","1","0","Insignia of Aban","Insignia of Aban","ItemNameFound"
"CAMASG","224052","224052","1","1","0","Insignia of Cama","Insignia of Cama","ItemNameFound"
"DALJSG","214881","214881","1","1","0","Insignia of Dalja","Insignia of Dalja","ItemNameFound"
"ENELSG","214781","214781","1","1","0","Insignia of Enel","Insignia of Enel","ItemNameFound"
"GALASG","224051","224051","1","1","0","Insignia of Lord Galahad","Insignia of Lord Galahad","ItemNameFound"
"GLTHSG","214880","214880","1","1","0","Insignia of Gilthar","Insignia of Gilthar","ItemNameFound"
"INSTDC","147073","147073","80","80","1","Instruction Disc (Abscess Explosion)","Instruction Disc (Abscess Explosion)","ItemNameFound"
"INSTDC","147272","147272","140","140","1","Instruction Disc (Absorb Punishment)","Instruction Disc (Absorb Punishment)","ItemNameFound"
"INSTDC","147903","147903","80","80","1","Instruction Disc (Absorption Shield)","Instruction Disc (Absorption Shield)","ItemNameFound"
"INSTDC","160840","160840","142","142","1","Instruction Disc (Absolute Concentration)","Instruction Disc (Absolute Concentration)","ItemNameFound"
"MORDSG","224050","224050","1","1","0","Insignia of Lord Mordeth","Insignia of Lord Mordeth","ItemNameFound"
"NANOBN","220792","220792","146","146","1","Blood Stained and Corroded Crystal (Complex Nano Contagion)","Blood Stained and Corroded Crystal (Complex Nano Contagion)","ItemNameFound"
"NANOBN","220931","220931","24","24","1","Blood Stained and Corroded Crystal (Lesser Nano Surgery)","Blood Stained and Corroded Crystal (Lesser Nano Surgery)","ItemNameFound"
"NANOBN","221021","221021","14","14","1","Blood Stained and Corroded Crystal (Elementary Nano Contagion)","Blood Stained and Corroded Crystal (Elementary Nano Contagion)","ItemNameFound"
"NANOBN","221566","221566","66","66","1","Blood Stained and Corroded Crystal (Advanced Nano Gorger)","Blood Stained and Corroded Crystal (Advanced Nano Gorger)","ItemNameFound"
"NANOBN","222114","222114","17","17","1","Blood Stained and Corroded Crystal (Lesser Nano Bandage)","Blood Stained and Corroded Crystal (Lesser Nano Bandage)","ItemNameFound"
"NANORK","161160","161160","169","169","1","NanoCrystal (Ballad of the Plains Wanderer)","NanoCrystal (Ballad of the Plains Wanderer)","ItemNameFound"
"NANORK","162725","162725","93","93","1","NanoCrystal (Biosign Rejuvenator)","NanoCrystal (Biosign Rejuvenator)","ItemNameFound"
"NANORK","163097","163097","149","149","1","NanoCrystal (Active Viral Compressor)","NanoCrystal (Active Viral Compressor)","ItemNameFound"
"NANORK","203120","203120","161","161","1","NanoCrystal (Art of peace)","NanoCrystal (Art of peace)","ItemNameFound"
"OCRASG","214840","214840","1","1","0","Insignia of Ocra","Insignia of Ocra","ItemNameFound"
"ROCHSG","214855","214855","1","1","0","Insignia of Roch","Insignia of Roch","ItemNameFound"
"SHERSG","214782","214782","1","1","0","Insignia of Shere","Insignia of Shere","ItemNameFound"
"THRKSG","214789","214789","1","1","0","Insignia of Thrak","Insignia of Thrak","ItemNameFound"
"VANYSG","224049","224049","1","1","0","Insignia of Vanya","Insignia of Vanya","ItemNameFound"
