enemy_name,monster_data,corpses,empty_corpses,levels,credits_min,credits_max,credits_avg,low_id,high_id,ql,item_name,item_label,observed_on_corpses,observed_rate_pct,total_qty
(unnamed),17687,1,0,,0,0,0.0,85548,22258,7,Inferior Heated Plasteel Armor Helmet,85548-22258 Inferior Heated Plasteel Armor Helmet QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,85596,85595,7,Worn Metaplast Armor Gloves,85596-85595 Worn Metaplast Armor Gloves QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,125343,125344,7,Splintered Protector Squibber,125343-125344 Splintered Protector Squibber QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,160264,160265,7,Cheap Kaen-Archibald Kolt,160264-160265 Cheap Kaen-Archibald Kolt QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,161487,161488,7,Adapted Notum Crystal - Polymorphing I,161487-161488 Adapted Notum Crystal - Polymorphing I QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,162715,162715,7,NanoCrystal (Relieving Salve),162715 NanoCrystal (Relieving Salve) QL7,1,100.0,1
(unnamed),17687,1,0,,0,0,0.0,201139,201140,7,Pilgrim Seeker Armor Boots,201139-201140 Pilgrim Seeker Armor Boots QL7,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,70558,85640,5,Battered Low-Tech Armor Boots,70558-85640 Battered Low-Tech Armor Boots QL5,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,70559,85689,5,Battered Low-Tech Body Armor,70559-85689 Battered Low-Tech Body Armor QL5,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,122886,122887,5,Irreparable Minielectronium,122886-122887 Irreparable Minielectronium QL5,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,123057,123058,5,Unbalanced Ritual Krys Knife,123057-123058 Unbalanced Ritual Krys Knife QL5,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,162497,162497,14,NanoCrystal (Lesser Suppressor),162497 NanoCrystal (Lesser Suppressor) QL14,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,163318,163319,5,Cheap Division 9 Plasmaprojector,163318-163319 Cheap Division 9 Plasmaprojector QL5,1,100.0,1
(unnamed),17714,1,0,,35,35,35.0,201076,201077,5,Omni-Scout Desert Armor Pants,201076-201077 Omni-Scout Desert Armor Pants QL5,1,100.0,1
32-V Docker,17649,2,1,3,4,4,4.0,248318,248318,1,Optical Enhancer,248318 Optical Enhancer QL1,1,50.0,1
Angry Minibull,30360,8,3,"8,9,10,12,13",47,79,60.38,248310,248310,1,Bone Plates,248310 Bone Plates QL1,2,25.0,2
Angry Minibull,30360,8,3,"8,9,10,12,13",47,79,60.38,84156,84155,7,Ring of Power - Energy,84156-84155 Ring of Power - Energy QL7,1,12.5,1
Angry Minibull,30360,8,3,"8,9,10,12,13",47,79,60.38,248325,248325,1,Leather Hide,248325 Leather Hide QL1,1,12.5,1
Angry Minibull,30360,8,3,"8,9,10,12,13",47,79,60.38,248330,248330,1,Large Skull,248330 Large Skull QL1,1,12.5,2
Cleaning Robot,297023,16,6,1,5,5,5.0,42620,42620,1,Robot Junk,42620 Robot Junk QL1,8,50.0,8
Cleaning Robot,297023,16,6,1,5,5,5.0,70559,70559,1,Battered Low-Tech Body Armor,70559 Battered Low-Tech Body Armor QL1,1,6.2,1
Cleaning Robot,297023,16,6,1,5,5,5.0,70560,70560,1,Battered Low-Tech Female Body Armor,70560 Battered Low-Tech Female Body Armor QL1,1,6.2,1
Cleaning Robot,297023,16,6,1,5,5,5.0,70563,70563,1,Battered Low-Tech Armor Helmet,70563 Battered Low-Tech Armor Helmet QL1,1,6.2,1
Cleaning Robot,297023,16,6,1,5,5,5.0,84144,84144,1,Ring of Luck - Offensive,84144 Ring of Luck - Offensive QL1,1,6.2,1
Cleaning Robot,297023,16,6,1,5,5,5.0,155685,155685,1,Large and partly fused lump of strange tetrahedral CPU bundles,155685 Large and partly fused lump of strange tetrahedral CPU bundles QL1,1,6.2,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,162736,162736,7,Instruction Disc (Relieving Salve),162736 Instruction Disc (Relieving Salve) QL7,3,100.0,3
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,42620,42619,2,Robot Junk,42620-42619 Robot Junk QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,70562,85597,2,Battered Low-Tech Armor Gloves,70562-85597 Battered Low-Tech Armor Gloves QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,85517,27360,2,Battered Flak Armor Pants,85517-27360 Battered Flak Armor Pants QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,85691,22004,2,Inferior Kevlar Vest,85691-22004 Inferior Kevlar Vest QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,85693,27389,2,Battered Flak Body Armor,85693-27389 Battered Flak Body Armor QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,85740,85739,2,Inferior Nail Armor Sleeves,85740-85739 Inferior Nail Armor Sleeves QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,122981,122982,2,Irreparable Kolt 58 Magnum,122981-122982 Irreparable Kolt 58 Magnum QL2,1,33.3,1
