"Slot","LowId","HighId","QL"
"0","87814","87814","200"
"1","300751","300751","1"
"2","95576","95576","1"
"3","55688","55677","2"
"4","55688","55677","19"
"5","55688","55677","35"
"6","55688","55677","66"
"7","55688","55677","89"
"8","55688","55677","105"
"9","55688","55677","119"
"10","55688","55677","162"
"11","55677","55677","200"
"12","55687","55686","4"
"13","55687","55686","25"
"14","55687","55686","38"
"15","55687","55686","58"
"16","55687","55686","83"
"17","55687","55686","97"
"18","55687","55686","124"
"19","55687","55686","157"
"20","55687","55686","196"
"21","55686","55686","200"
"22","55694","55693","3"
"23","55694","55693","12"
"24","55694","55693","43"
"25","55694","55693","55"
"26","55694","55693","76"
"27","55694","55693","101"
"28","55694","55693","149"
"29","55694","55693","189"
"30","55693","55693","200"
"31","55692","55691","4"
"32","55692","55691","28"
"33","55692","55691","34"
"34","55692","55691","67"
"35","55692","55691","88"
"36","55692","55691","109"
"37","55692","55691","137"
"38","55692","55691","155"
"39","55692","55691","193"
"40","55691","55691","200"
"41","87810","87814","8"
"42","87810","87814","20"
"43","87810","87814","32"
"44","87810","87814","51"
"45","87810","87814","71"
"46","87810","87814","105"
"47","87810","87814","129"
"48","87810","87814","175"
"49","87810","87814","192"
"50","81755","81755","201"
"51","81758","81758","201"
"52","95577","95577","1"
"53","81757","81756","36"
"54","55690","55689","5"
"55","55690","55689","20"
"56","55690","55689","41"
"57","55690","55689","59"
"58","55690","55689","76"
"59","55690","55689","107"
"60","55690","55689","135"
"61","55690","55689","171"
"62","55689","55689","200"
"63","81756","81755","184"
"64","99727","81758","60"
"65","99727","81758","152"
"66","28564","28564","1"
"67","55685","55684","7"
"68","55685","55684","27"
"69","55685","55684","34"
"70","55685","55684","60"
"71","55685","55684","71"
"72","55685","55684","93"
"73","55685","55684","112"
"74","55685","55684","158"
"75","55684","55684","200"
"76","205224","205225","8"
"77","205224","205225","10"
"78","205224","205225","44"
"79","205225","205226","51"
"80","205225","205226","85"
"81","205226","205227","108"
"82","205226","205227","110"
"83","205226","205227","176"
"84","205227","205228","220"
"85","205227","205228","246"
"86","205227","205228","271"
"87","205228","205228","300"
"88","55683","55682","9"
"89","55683","55682","22"
"90","55683","55682","34"
"91","55683","55682","69"
"92","55683","55682","89"
"93","55683","55682","104"
"94","55683","55682","116"
"95","55683","55682","153"
"96","55683","55682","197"
"97","55682","55682","200"
"98","55681","55680","7"
"99","55681","55680","24"
"100","55681","55680","49"
"101","55681","55680","64"
"102","55681","55680","71"
"103","55681","55680","108"
"104","55681","55680","132"
"105","55681","55680","186"
"106","55680","55680","200"
"107","301691","301691","1"
"108","55679","55679","1"
"109","55679","55678","28"
"110","55679","55678","44"
"111","55679","55678","51"
"112","55679","55678","77"
"113","55679","55678","104"
"114","55679","55678","137"
"115","55679","55678","159"
"116","55678","55678","200"
