"Id","SourcePlayfield","SourcePlayfieldName","SourceType","SourceInstanceDecimal","SourceInstanceHex","SourceStatelCount","SourceCoords","DestinationPlayfield","DestinationPlayfieldName","DestinationType","DestinationInstanceDecimal","DestinationInstanceHex","DestinationStatelCount","DestinationCoords","Warnings"
"1","505","Avalon","51016","3221422585","0xC00301F9","1","2050.645,43.916,3710.043","1421","avalon_building3 dng","51016","3221226893","0xC000058D","1","185.005,5,155.991",""
"2","505","Avalon","51016","3221553657","0xC00501F9","1","2013.339,43.905,3696.852","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"3","505","Avalon","51016","3221619193","0xC00601F9","1","2031.527,43.905,3707.14","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"4","505","Avalon","51016","3221684729","0xC00701F9","1","1985.016,44.315,3754.191","1422","avalon_building4 dng","51016","3221226894","0xC000058E","1","199.002,5.017,171.95",""
"5","505","Avalon","51016","3221750265","0xC00801F9","1","1981.561,43.905,3768.282","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"6","505","Avalon","51016","3221946873","0xC00B01F9","1","1985.382,43.906,3742.427","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"7","505","Avalon","51016","3222077945","0xC00D01F9","1","2102.969,43.905,3744.806","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"8","505","Avalon","51016","3222143481","0xC00E01F9","1","2114.605,44.317,3746.559","1422","avalon_building4 dng","51016","3221226894","0xC000058E","1","199.002,5.017,171.95",""
"9","505","Avalon","51016","3222274553","0xC01001F9","1","2131.73,43.905,3754.874","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"10","505","Avalon","51016","3222405625","0xC01201F9","1","2164.802,43.905,3789.277","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"11","505","Avalon","51016","3222471161","0xC01301F9","1","2169.023,43.905,3802.18","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"12","505","Avalon","51016","3222536697","0xC01401F9","1","2139.33,43.915,3779.244","1421","avalon_building3 dng","51016","3221226893","0xC000058D","1","185.005,5,155.991",""
"13","505","Avalon","51016","3222667769","0xC01601F9","1","2126.439,43.905,3765.414","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"14","505","Avalon","51016","3222864377","0xC01901F9","1","2002.855,43.905,3835.089","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"15","505","Avalon","51016","3222929913","0xC01A01F9","1","2010.706,44.316,3814.008","1422","avalon_building4 dng","51016","3221226894","0xC000058E","1","199.002,5.017,171.95",""
"16","505","Avalon","51016","3223060985","0xC01C01F9","1","2011.804,43.905,3802.871","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"17","505","Avalon","51016","3222340089","0xC01101F9","1","2146.273,44.315,3772.396","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"18","505","Avalon","51016","3223126521","0xC01D01F9","1","2028.288,43.916,3800.947","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"19","505","Avalon","51016","3222012409","0xC00C01F9","1","2082.415,43.916,3744.911","2011","clan_advanced_armor_shop","51016","3221227483","0xC00007DB","1","205.001,5,178.01",""
"20","505","Avalon","51016","3222733305","0xC01701F9","1","2095.831,44.315,3756.381","2011","clan_advanced_armor_shop","51016","3221227483","0xC00007DB","1","205.001,5,178.01",""
"21","505","Avalon","51016","3222995449","0xC01B01F9","1","2022.168,43.916,3788.454","2020","clan_sup_weapons_shop","51016","3221227492","0xC00007E4","1","215.001,5,210.01",""
"22","505","Avalon","51016","3221488121","0xC00401F9","1","2037.721,43.905,3689.933","2003","clan_basic_pharmasist_shop","51016","3221227475","0xC00007D3","1","197.001,5,158.01",""
"23","505","Avalon","51016","3221881337","0xC00A01F9","1","2001.191,43.916,3749.537","2004","clan_basic_clothes_shop","51016","3221227476","0xC00007D4","1","217.004,5,154.009",""
"24","505","Avalon","51016","3222602233","0xC01501F9","1","2158.271,44.315,3796.691","2013","clan_advanced_implants_shop","51016","3221227485","0xC00007DD","1","197.004,5,192.009",""
"25","505","Avalon","51016","3221815801","0xC00901F9","1","1999.667,42.498,3766.166","2001","clan_basic_weapons_shop","51016","3221227473","0xC00007D1","1","211.001,5,154.01",""
"26","505","Avalon","51016","3221357049","0xC00201F9","1","2047.937,44.316,3697.945","2005","clan_basic_implants_shop","51016","3221227477","0xC00007D5","1","193.004,5,162.009",""
"27","505","Avalon","51016","3223192057","0xC01E01F9","1","2055.06,43.78,3771.706","2012","clan_advanced_pharmacist_shop","51016","3221227484","0xC00007DC","1","201.001,5,190.01",""
"28","505","Avalon","51016","3223388665","0xC02101F9","1","2101.371,44.105,3117.533","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
