"Playfield","PlayfieldName","WallSet","Segment","Start","End","DestinationPlayfield","DestinationPlayfieldName","DestinationIndex","Destination","Warnings"
"505","Avalon","0","3","2331.004,196.747","3059.559,196.747","551","Wailing Wastes","8","","invalid destination index"
"540","Old Athen","0","3","201.445,396.369","201.445,390.369","545","West Athens","1","Destination Id: 0 StartCoords: 705.00 10.50 422.00 EndCoords: 705.00 10.50 428.20",""
"540","Old Athen","0","7","601.445,390.769","601.445,396.869","586","Wartorn Valley","1","Destination Id: 0 StartCoords: 395.29 13.50 717.14 EndCoords: 395.11 13.50 710.50",""
"545","West Athens","0","2","704.999,422.001","704.999,428.201","540","Old Athen","1","Destination Id: 0 StartCoords: 201.45 10.70 396.37 EndCoords: 201.45 10.70 390.37",""
"545","West Athens","0","5","599.999,600.001","252.599,600.001","550","Athen Shire","5","Destination Id: 0 StartCoords: 2288.00 16.20 1455.99 EndCoords: 2635.00 5.40 1456.00",""
"545","West Athens","0","18","199.999,553.701","199.999,250.101","550","Athen Shire","4","Destination Id: 0 StartCoords: 2225.00 10.20 1101.00 EndCoords: 2225.00 14.25 1407.00",""
"545","West Athens","0","32","265.799,199.835","599.999,200.001","550","Athen Shire","3","Destination Id: 0 StartCoords: 2635.00 3.60 1051.99 EndCoords: 2301.00 10.00 1052.00",""
"550","Athen Shire","5","1","1708,200","2140,200","791","Holes in the Wall","1","Destination Id: 0 StartCoords: 1119.25 49.01 2164.20 EndCoords: 660.96 48.37 2161.59",""
"550","Athen Shire","5","5","2840,207.5","2840,697.5","585","Aegean","8","Destination Id: 0 StartCoords: 199.64 45.30 1090.17 EndCoords: 199.64 15.60 600.17",""
"550","Athen Shire","5","7","2840,765","2839.986,1052","586","Wartorn Valley","2","Destination Id: 0 StartCoords: 200.00 8.10 526.20 EndCoords: 199.70 45.30 220.00",""
"550","Athen Shire","5","9","2635,1051.991","2301,1052","545","West Athens","2","Destination Id: 0 StartCoords: 265.80 15.38 199.83 EndCoords: 600.00 0.00 200.00",""
"550","Athen Shire","5","22","2225,1101","2225,1407","545","West Athens","3","Destination Id: 0 StartCoords: 200.00 12.57 553.70 EndCoords: 200.00 10.38 250.10",""
"550","Athen Shire","5","33","2288,1455.991","2635,1456","545","West Athens","4","Destination Id: 0 StartCoords: 600.00 8.71 600.00 EndCoords: 252.60 15.74 600.00",""
"550","Athen Shire","5","36","2839.993,1549","2840,2150","585","Aegean","23","","invalid destination index"
"550","Athen Shire","5","38","2691,2170","2466.5,2110","551","Wailing Wastes","11","","invalid destination index"
"550","Athen Shire","5","42","1849,1980","1794,1980","551","Wailing Wastes","9","","invalid destination index"
"550","Athen Shire","5","48","1613.7,1945","1558,1945","551","Wailing Wastes","2","Destination Id: 0 StartCoords: 1559.16 33.00 742.73 EndCoords: 1614.86 29.95 742.73",""
"550","Athen Shire","5","52","1200,1026","1200,262","795","The Longest Road","1","Destination Id: 0 StartCoords: 4439.99 39.20 863.57 EndCoords: 4439.99 37.10 1631.07",""
"551","Wailing Wastes","10","11","1176.159,3797.727","451.159,3797.727","505","Avalon","1","Destination Id: 0 StartCoords: 2331.00 41.39 196.75 EndCoords: 3059.56 19.38 196.75",""
"551","Wailing Wastes","10","19","1559.159,742.732","1614.859,742.732","550","Athen Shire","9","Destination Id: 0 StartCoords: 1613.70 17.44 1945.00 EndCoords: 1558.00 32.65 1945.00",""
"551","Wailing Wastes","10","25","1795.159,777.732","1850.659,777.732","550","Athen Shire","8","Destination Id: 0 StartCoords: 1849.00 21.70 1980.00 EndCoords: 1794.00 17.00 1980.00",""
"551","Wailing Wastes","10","29","2466.159,912.732","2692.159,967.732","550","Athen Shire","7","Destination Id: 0 StartCoords: 2691.00 23.85 2170.00 EndCoords: 2466.50 27.50 2110.00",""
"556","Coast of Peace","0","1","2596.42,2124.301","2599.538,1373.688","656","Coast of Tranquility","2","Destination Id: 0 StartCoords: 2600.06 11.08 1371.78 EndCoords: 2600.06 21.58 2125.96",""
"556","Coast of Peace","0","4","2541.436,1300.275","1649.798,1300.209","656","Coast of Tranquility","3","Destination Id: 0 StartCoords: 1649.87 45.92 1300.05 EndCoords: 2541.23 38.50 1299.69",""
"556","Coast of Peace","0","7","1600.487,1240.38","1599.999,100","656","Coast of Tranquility","4","Destination Id: 0 StartCoords: 1600.00 4.25 100.00 EndCoords: 1599.92 41.37 1240.52",""
"556","Coast of Peace","0","10","5200.001,2200","2599.999,2200","695","Lush Fields","11","Destination Id: 0 StartCoords: 1192.64 24.10 197.49 EndCoords: 3702.79 10.26 195.94",""
"560","Mort","0","11","286.05,199.996","3580.293,199.996","565","Newland Desert","16","","invalid destination index"
"560","Mort","0","51","3719.993,709.696","3720,3532.488","570","The Perpetual Wastelands ","1","Destination Id: 0 StartCoords: 200.26 49.39 3221.16 EndCoords: 200.83 28.89 307.01",""
"565","Newland Desert","0","0","200,1488","1985,1488","567","Newland","15","","invalid destination index"
"565","Newland Desert","0","2","2000,1473","2010.128,333.27","567","Newland","16","","invalid destination index"
"565","Newland Desert","0","5","2062.418,200.014","3649.239,200.401","600","Varmint Woods","6","Destination Id: 0 StartCoords: 3637.92 30.25 3199.85 EndCoords: 1794.62 35.10 3199.85",""
"565","Newland Desert","0","9","3581.818,3080.692","292.6,3080.686","560","Mort","1","Destination Id: 0 StartCoords: 286.05 32.20 200.00 EndCoords: 3580.29 24.77 200.00",""
"566","Newland City","0","0","233.576,313.607","233.643,299.668","567","Newland","13","","invalid destination index"
"566","Newland City","0","19","354.156,352.474","343.152,357.736","567","Newland","14","","invalid destination index"
"567","Newland","0","0","1136.483,525.596","1136.528,537.102","566","Newland City","4","Destination Id: 0 StartCoords: 233.58 32.40 313.61 EndCoords: 233.64 32.40 299.67",""
"567","Newland","0","7","1245.45,582.494","1255.748,576.345","566","Newland City","5","Destination Id: 0 StartCoords: 354.16 35.34 352.47 EndCoords: 343.15 34.97 357.74",""
"567","Newland","1","2","1800,323.653","1800,1268","565","Newland Desert","14","","invalid destination index"
"567","Newland","1","4","1791.018,1280","200,1280.004","565","Newland Desert","13","","invalid destination index"
"567","Newland","1","6","200,200","1741.223,200","600","Varmint Woods","3","Destination Id: 0 StartCoords: 1731.32 29.92 3199.85 EndCoords: 257.41 52.93 3199.86",""
