"TerminalIdentity","CaptureSequence","Playfield","PlayfieldName","ComputedVendorId","TemplateId","TemplateName","ExistingVendorHash","ExistingTemplateHash","ExistingShopInvHash","EvidenceStatus","Slot","LowId","LowName","HighId","HighName","QL","PairKey"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","0","154329","Antiseptic Jar","154330","HQ Antiseptic Jar","20","154329:154330"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","1","154329","Antiseptic Jar","154330","HQ Antiseptic Jar","25","154329:154330"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","2","154331","Basic Bio-Comminutor","154332","Advanced Bio-Comminutor","9","154331:154332"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","3","154331","Basic Bio-Comminutor","154332","Advanced Bio-Comminutor","37","154331:154332"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","4","247234","Empty Stim Unit","247235","Empty Stim Unit","30","247234:247235"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","5","247234","Empty Stim Unit","247235","Empty Stim Unit","48","247234:247235"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","6","162294","HSR - Sketch and Etch - Arms","162294","HSR - Sketch and Etch - Arms","10","162294:162294"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","7","162293","HSR - Sketch and Etch - Boots","162293","HSR - Sketch and Etch - Boots","10","162293:162293"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","8","162290","HSR - Sketch and Etch - Chestpiece","162290","HSR - Sketch and Etch - Chestpiece","10","162290:162290"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","9","162289","HSR - Sketch and Etch - Gloves","162289","HSR - Sketch and Etch - Gloves","10","162289:162289"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","10","162292","HSR - Sketch and Etch - Helmet","162292","HSR - Sketch and Etch - Helmet","10","162292:162292"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","11","162291","HSR - Sketch and Etch - Legs","162291","HSR - Sketch and Etch - Legs","10","162291:162291"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","12","206733","Semi-Finished First-Aid Kit","206734","Semi-Finished First-Aid Kit","19","206733:206734"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","13","206733","Semi-Finished First-Aid Kit","206734","Semi-Finished First-Aid Kit","43","206733:206734"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","14","207504","Semi-Finished Nano Kit","207505","Semi-Finished Nano Kit","7","207504:207505"
"(VendingMachine:12E3A36F)","239","4571","Heavenly Business - Basic","299565059","155287","Pharmacy and Chemistry Tools and Bases - Basic","","","","CapturedUnmappedStatel","15","207504","Semi-Finished Nano Kit","207505","Semi-Finished Nano Kit","42","207504:207505"
