"TemplateId","TerminalName","TerminalIdentity","CapturedPlayfieldId","MatchedPlayfield","PlayfieldName","ComputedVendorId","Position","VendorFullRows","ProposedVendorHash","ProposedInventoryHash","InventoryRows","UniqueItemPairs","QlMin","QlMax","ResolvedItemRows"
"155285","General Tools and Bases - Advanced","(VendingMachine:12DDBBD1)","1030147","4572","Heavenly Business - Advanced","299630593","54.9,2.1,28","2","GToolA","GTBA","17","10","1","89","17"
"155288","Pharmacy and Chemistry Tools and Bases - Advanced","(VendingMachine:12DDBBD3)","1030147","4572","Heavenly Business - Advanced","299630595","47,2.1,75.5","2","PCTlA","PCTA","20","13","10","89","20"
"155291","Tools for Electrical and Mechanical Engineering - Advanced","(VendingMachine:12DDBBD2)","1030147","4572","Heavenly Business - Advanced","299630594","51.1000023,2.1,75.5","2","EMTlA","EMTA","5","4","10","89","5"
"155312","Nano Crystal Components - Advanced","(VendingMachine:12DDBBD9)","1030147","4572","Heavenly Business - Advanced","299630601","24.9,2.1,38","2","NCCmpA","NCCA","59","30","31","89","59"
"155488","Pharmacy and Chemistry Components - Advanced","(VendingMachine:12DDBBD7)","1030147","4572","Heavenly Business - Advanced","299630599","32.2,2.1,75.4","2","PCCmpA","PCCA","36","13","10","89","36"
"155494","Mechanical and Electrical Engineering Components - Advanced","(VendingMachine:12DDBBD6)","1030147","4572","Heavenly Business - Advanced","299630598","24.9000015,2.1,68.1","2","MECmpA","MECA","16","7","10","89","16"
"155497","Armour and Clothing Components - Advanced","(VendingMachine:12DDBBD8)","1030147","4572","Heavenly Business - Advanced","299630600","24.9000015,2.1,28.0000019","2","ACCmpA","ACCA","4","2","40","83","4"
"155500","General Components - Advanced","(VendingMachine:12DDBBD5)","1030147","4572","Heavenly Business - Advanced","299630597","24.9000015,2.1,48.0000038","2","GCmpA","GCmA","4","2","1","71","4"
"155509","General Recipes - Advanced","(VendingMachine:12DDBBD4)","1030147","4572","Heavenly Business - Advanced","299630596","54.9,2.1,48","2","GRecA","GReA","17","17","1","100","17"
"155607","Advanced Devices","(VendingMachine:12DDBBD0)","1030147","4572","Heavenly Business - Advanced","299630592","54.9,2.1,38","2","DevA","DevA","27","14","2","83","27"
