"TemplateA","NameA","TemplateB","NameB","UniquePairsA","UniquePairsB","SharedPairs","SharedPairKeys"
"155284","General Tools and Bases - Basic","155499","General Components - Basic","10","2","1","156054:156054"
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155314","Pharmacy and Chemistry Components - Basic","13","13","1","154329:154330"
"155314","Pharmacy and Chemistry Components - Basic","155496","Armour and Clothing Components - Basic","13","2","1","164951:164952"
"155493","Mechanical and Electrical Engineering Components - Basic","155496","Armour and Clothing Components - Basic","7","2","1","156016:156017"
"155284","General Tools and Bases - Basic","155287","Pharmacy and Chemistry Tools and Bases - Basic","10","13","0",""
"155284","General Tools and Bases - Basic","155290","Tools for Electrical and Mechanical Engineering - Basic","10","4","0",""
"155284","General Tools and Bases - Basic","155311","Nano Crystal Components - Basic","10","25","0",""
"155284","General Tools and Bases - Basic","155314","Pharmacy and Chemistry Components - Basic","10","13","0",""
"155284","General Tools and Bases - Basic","155493","Mechanical and Electrical Engineering Components - Basic","10","7","0",""
"155284","General Tools and Bases - Basic","155496","Armour and Clothing Components - Basic","10","2","0",""
"155284","General Tools and Bases - Basic","155508","General Recipes - Basic","10","17","0",""
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155311","Nano Crystal Components - Basic","13","25","0",""
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155493","Mechanical and Electrical Engineering Components - Basic","13","7","0",""
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155496","Armour and Clothing Components - Basic","13","2","0",""
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155499","General Components - Basic","13","2","0",""
"155287","Pharmacy and Chemistry Tools and Bases - Basic","155508","General Recipes - Basic","13","17","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155287","Pharmacy and Chemistry Tools and Bases - Basic","4","13","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155311","Nano Crystal Components - Basic","4","25","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155314","Pharmacy and Chemistry Components - Basic","4","13","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155493","Mechanical and Electrical Engineering Components - Basic","4","7","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155496","Armour and Clothing Components - Basic","4","2","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155499","General Components - Basic","4","2","0",""
"155290","Tools for Electrical and Mechanical Engineering - Basic","155508","General Recipes - Basic","4","17","0",""
"155314","Pharmacy and Chemistry Components - Basic","155311","Nano Crystal Components - Basic","13","25","0",""
"155493","Mechanical and Electrical Engineering Components - Basic","155311","Nano Crystal Components - Basic","7","25","0",""
"155493","Mechanical and Electrical Engineering Components - Basic","155314","Pharmacy and Chemistry Components - Basic","7","13","0",""
"155496","Armour and Clothing Components - Basic","155311","Nano Crystal Components - Basic","2","25","0",""
"155499","General Components - Basic","155311","Nano Crystal Components - Basic","2","25","0",""
"155499","General Components - Basic","155314","Pharmacy and Chemistry Components - Basic","2","13","0",""
"155499","General Components - Basic","155493","Mechanical and Electrical Engineering Components - Basic","2","7","0",""
"155499","General Components - Basic","155496","Armour and Clothing Components - Basic","2","2","0",""
"155508","General Recipes - Basic","155311","Nano Crystal Components - Basic","17","25","0",""
"155508","General Recipes - Basic","155314","Pharmacy and Chemistry Components - Basic","17","13","0",""
"155508","General Recipes - Basic","155493","Mechanical and Electrical Engineering Components - Basic","17","7","0",""
"155508","General Recipes - Basic","155496","Armour and Clothing Components - Basic","17","2","0",""
"155508","General Recipes - Basic","155499","General Components - Basic","17","2","0",""
"155604","Basic Devices","155284","General Tools and Bases - Basic","13","10","0",""
"155604","Basic Devices","155287","Pharmacy and Chemistry Tools and Bases - Basic","13","13","0",""
"155604","Basic Devices","155290","Tools for Electrical and Mechanical Engineering - Basic","13","4","0",""
"155604","Basic Devices","155311","Nano Crystal Components - Basic","13","25","0",""
"155604","Basic Devices","155314","Pharmacy and Chemistry Components - Basic","13","13","0",""
"155604","Basic Devices","155493","Mechanical and Electrical Engineering Components - Basic","13","7","0",""
"155604","Basic Devices","155496","Armour and Clothing Components - Basic","13","2","0",""
"155604","Basic Devices","155499","General Components - Basic","13","2","0",""
"155604","Basic Devices","155508","General Recipes - Basic","13","17","0",""
