"TemplateId","TerminalName","ProposedInventoryHash","BasicInventoryHash","CapturedRows","BasicRows","CapturedUniquePairs","BasicUniquePairs","SharedPairs","CapturedOnlyPairs","BasicOnlyPairs"
"155610","Superior Devices","DevS","DevB","26","27","13","13","10","3","3"
"155286","General Tools and Bases - Superior","GTBS","GTBB","12","12","10","10","3","7","7"
"155292","Tools for Electrical and Mechanical Engineering - Superior","EMTS","EMTB","5","5","4","4","4","0","0"
"155289","Pharmacy and Chemistry Tools and Bases - Superior","PCTS","PCTB","20","20","13","13","13","0","0"
"155510","General Recipes - Superior","GReS","GReB","17","17","17","17","17","0","0"
"155501","General Components - Superior","GCmS","GCmB","4","4","2","2","2","0","0"
"155495","Mechanical and Electrical Engineering Components - Superior","MECS","MECB","17","17","7","7","7","0","0"
"155489","Pharmacy and Chemistry Components - Superior","PCCS","PCCB","37","37","13","13","13","0","0"
"223502","Jobe Armour and Clothing Components - Superior","JACS","ACCB","4","4","2","2","2","0","0"
"223505","Jobe Nano Crystal Components - Superior","JNCS","NCCB","60","58","30","25","1","29","24"
