"TemplateId","TerminalName","TerminalIdentity","PlayfieldId","VendorFullRows","ProposedVendorHash","ProposedInventoryHash","InventoryRows","UniqueItemPairs","QlMin","QlMax"
"155610","Superior Devices","(VendingMachine:12E35A34)","1038340","2","DevS","DevS","26","13","2","199"
"155286","General Tools and Bases - Superior","(VendingMachine:12E35A35)","1038340","2","GToolS","GTBS","12","10","1","199"
"155292","Tools for Electrical and Mechanical Engineering - Superior","(VendingMachine:12E35A36)","1038340","2","EMTlS","EMTS","5","4","10","137"
"155289","Pharmacy and Chemistry Tools and Bases - Superior","(VendingMachine:12E35A37)","1038340","2","PCTlS","PCTS","20","13","10","199"
"155510","General Recipes - Superior","(VendingMachine:12E35A38)","1038340","2","GRecS","GReS","17","17","1","100"
"155501","General Components - Superior","(VendingMachine:12E35A39)","1038340","2","GCmpS","GCmS","4","2","1","167"
"155495","Mechanical and Electrical Engineering Components - Superior","(VendingMachine:12E35A3A)","1038340","2","MECmpS","MECS","17","7","10","199"
"155489","Pharmacy and Chemistry Components - Superior","(VendingMachine:12E35A3B)","1038340","2","PCCmpS","PCCS","37","13","10","199"
"223502","Jobe Armour and Clothing Components - Superior","(VendingMachine:12E35A3C)","1038340","2","JACmpS","JACS","4","2","88","150"
"223505","Jobe Nano Crystal Components - Superior","(VendingMachine:12E35A3D)","1038340","2","JNCmpS","JNCS","60","30","74","199"
