"CaptureId","SourceCapture","TerminalIdentity","TemplateId","TerminalFamily","PlayfieldId","PositionX","PositionY","PositionZ","Slot","LowId","HighId","Quality","LowName","HighName","ResolvedName","NameStatus"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","0","82914","82914","1","Aquaan Trenchcoat Hood","Aquaan Trenchcoat Hood","Aquaan Trenchcoat Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","1","31534","31534","1","Black Cloak Hood","Black Cloak Hood","Black Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","2","31533","31533","1","Blue Cloak Hood","Blue Cloak Hood","Blue Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","3","31532","31532","1","Brown Cloak Hood","Brown Cloak Hood","Brown Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","4","31531","31531","1","Green Cloak Hood","Green Cloak Hood","Green Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","5","31530","31530","1","Grey Cloak Hood","Grey Cloak Hood","Grey Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","6","40996","40996","1","Hood with Stars Print","Hood with Stars Print","Hood with Stars Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","7","41000","41000","1","Hood with a Blue Leopard Print","Hood with a Blue Leopard Print","Hood with a Blue Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","8","40999","40999","1","Hood with a Blue Zebra Print","Hood with a Blue Zebra Print","Hood with a Blue Zebra Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","9","41022","41022","1","Hood with a Grey Waterlily Print","Hood with a Grey Waterlily Print","Hood with a Grey Waterlily Print","resolved-low-high"
