"CapturedUtc","TerminalIdentity","Slot","LowId","HighId","Quality","LowName","HighName"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","0","27377","27377","1","Black Boots","Black Boots"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","1","31506","31506","1","Black Omni-Tek Commander Cloak","Black Omni-Tek Commander Cloak"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","2","27378","27378","1","Black Pants","Black Pants"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","3","27379","27379","1","Black Shirt","Black Shirt"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","4","27380","27380","1","Black Sleeves","Black Sleeves"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","5","27367","27367","1","Omni Executive Suit Boots","Omni Executive Suit Boots"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","6","27368","27368","1","Omni Executive Suit Pants","Omni Executive Suit Pants"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","7","27369","27369","1","Omni Executive Suit Shirt","Omni Executive Suit Shirt"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","8","27370","27370","1","Omni Executive Suit Sleeves","Omni Executive Suit Sleeves"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","9","27373","27373","1","Omni InternOp Suit Boots","Omni InternOp Suit Boots"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","10","27371","27371","1","Omni InternOp Suit Pants","Omni InternOp Suit Pants"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","11","27387","27387","1","Omni-Med Female Suit Shirt","Omni-Med Female Suit Shirt"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","12","27382","27382","1","Omni-Med Suit Boots","Omni-Med Suit Boots"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","13","27381","27381","1","Omni-Med Suit Gloves","Omni-Med Suit Gloves"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","14","27384","27384","1","Omni-Med Suit Skirt","Omni-Med Suit Skirt"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","15","27385","27385","1","Omni-Med Suit Sleeves","Omni-Med Suit Sleeves"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","16","27386","27386","1","Omni-Med Suit Trousers","Omni-Med Suit Trousers"
"2026-06-11T08:17:47.6696085Z","(VendingMachine:12C4C379)","17","31515","31515","1","Red Omni-Tek Commander Cloak","Red Omni-Tek Commander Cloak"
